Account,Coin,Chain,Address,Notes
GSS,ETH,ERC-20,,
GSS,EVM,Railgun,0zk1qyg0sz8whuypapwnf69ul5hk94es6slnfg8yz7auchw2p5lkwsgnlrv7j6fe3z53l7jp9xl26flpm82w2xluvdp3u4238ncjz026csjhu53xltwwjplq5k62uyt,
GSS,BTC,P2WPKH (segwit),bc1q4zhsv905e22lj80n377c5nqnvej2w8w37hq6a0,
GSS,BTC,segwit (Safepal),39f4NAKgx6BdfTqPZFkrozi4ksPKN5BuwM,
GSS,ZEC,Transparent,t1cDntSrwvXBd34RfBTz8AjFHF8vkqDJEX1,
GSS,ZEC,Orchard,u1vn7ep73xsjs62jza5aayrc35umlgg2sr5czxf0rhfsp7t5udcgqeeqlyfzafln3qw6jjdzcsshrfm9rhw4rwrvw3r0cpxhjtjya5dkpl,
GSS,DASH,DASH,XjE9FbMRPVEAJ3qnaoLSAyEYwuxitjUXbG,
GSS,Rune,Thorchain,thor1q6e6r9lgk8mgmkjshputrpmj25x66qspnzxfec,
GSS,Atom,Cosmoshub,cosmos1et40s2stdwutsna24upzywtspfdfdwwkjer78h,
Expenses,BTC,P2TR (taproot),bc1prkrkmsy46zq69sjcdy62a2d9gsas4dw0ndx8ra3k4klruma4zdyq8f2nw3,
Expenses,BTC,P2WPKH (segwit),bc1qnx36t6ngtamjzs0nmusz3dey9x2u2eaq2kphsm,
Expenses,BTC,Asgardex,bc1qdpak8yv8raqnhxj5yk2myxpefkphxdda6xhkjc,
Expenses,ETH,ERC-20,,
Expenses,ETH,ERC-20 (Stackwallet & Infiniti),,
Expenses,XMR,Monero,43hHG641AW6H1rPGM9U6gvYXjtpRrFe3aVwAzReuYsSzNgRSCYr7LRKM3bw4L9da5P6DfzZo21VdAcYphyD9YEwg88Yhm2i,
Expenses,DASH,DASH,Xv3ApHQmq28tejuVri9ymBfTnBB3B5zV5P,
Expenses,ZEC,Transparent,t1Mzpbm8tgnAAgkPv9Pp3mnsGKBP5VoKwgc,
Expenses,ZEC,Orchard,u1ttl70l5s4xmrhmael4hx3xdhwd29pf8snfc9t23r8eq7rgn4zsaal2ffhtnmkw5dkw9g8mczvgnq2hm2ytf6t7g7vgpktutvauhdvmvm,
G1,BTC,P2TR (taproot),bc1pjkd9am2m6jlnuga6yq2vs8tsa84nwjtf9gq794u2jvhe0v2r7yvqzz0qzn,
G1,BTC,P2WPKH (segwit),bc1qqzxc9d36z5uj0j23qgwd9sdjkea2dn59h32z4a,
G1,ETH,ERC-20,,
G1,EVM,Railgun,0zk1qyymexym0w9mqt857luvatq2g7vnud7z05mux04yxpxr2ww85874arv7j6fe3z53l7cqfxrxxru3u6rs6kxdy0vvqzztg0un6048hyltuxvgavz6u6m2xgh7hsf,,,,,,,
G1,Chainflip Acct,,cFHsUq1uK5opJudRDd1X1Duj4s6LNTv7qcyUSbyFf6CHkE89N,,,,,,,
G1,DASH,DASH,XeGoTiKLawUYNW9w77AKtDh4Q55b8aUWE6,,,,,,,
G1,SOL,Solana,2cM48EmQLW3yACXNTX7vb7v1a8crCcXXd2CmwrdnveWe,,,,,,,
G2,BTC,P2TR (taproot),bc1pr7weanhup6e4huhn0fermvrgf4eun47hdqftekpytxfacwxc0yxqhql7yc,,,,,,,
G2,BTC,P2WPKH (segwit),bc1qtkkxfad9rxlgedwlk7cgh4vaa3mx5lzksjw6ma,,,,,,,
G2,ETH,ERC-20,0x40c33B69e7aB4B22Eb8ec7D164e155F769F8c948,,,,,,,
G2,SOL,Solana,3AgUBcf4xaeEzpRbrRwDwkM46bHTBtBLF6Pkw5dcYrFs,,,,,,,
G2,DASH,DASH,XgMqG2zDV8FnZdZoUvKf9N2tFCvzG4DpGA,,,,,,,
G2,DASH,Safepal wallet,XpaWfSTv2WkNY5HTK1cUdGqCTrjASKq4b5,,,,,,,
G2,DOT,Polkadot,5CM4Uk2MY4yNERa7C2999FnsrzGi539WcEjwtt87VRrmyXoP,This is the subwallet account that runs chainflip with FLIP holding,,,,,,
G3,BTC,P2TR (taproot),bc1pp8kf7ndx0uqtmppj20086semalrhcgcss0a4esucvpvzvvwrr5zsywz7dx,,,,,,,
G3,BTC,P2WPKH (segwit),bc1q3wu5rd8zf5xqjf4nsf7lc5dun2sa6la7h8jlec,,,,,,,
G3,ETH,ERC-20,0x37E8B9340B82A502CdD5DD15Aec6ADAfBe164D7E,,,,,,,
G3,EVM,Railgun,0zk1qytx66ughe5759276j64gksd8ar6fmwuc6gzyrzp5h8ezwvegucmerv7j6fe3z53ll98ssse2epg0tympg2l0spjc3ueget83hnaprpl69yyw6ccc4kzx5e07ek,,,,,,,
G3,ZEC,Orchard,u1x30s998l3p6hk7km03pz0x60y3dhj2yvmjc74825x8vej5pu5vdlmh4hhlvgadujv8dwllrax0rhmr8w4ftxl0m7v5p20pzf0ykkdr4c,,,,,,,
G3,DASH,DASH,XpRwM9JoXLiPbDk4HVKmSKDE9L63TAvDa6,,,,,,,
G3,SOL,Solana,6SwC6NJSLtKZzoNju6hZcnFYQzoxcFuvu4VaqNtaoLrr,,,,,,,
G4,BTC,P2TR (taproot),bc1p6lykyptmr7gpkq07gehe5za7mxqe6d46gx5xv0ah9hdt5razk3hsjdtcnn,,,,,,,
G4,BTC,P2WPKH (segwit),bc1quw8rmjjx923kwpky097pgddcsk5hp26dvgs74r,,,,,,,
G4,ETH,ERC-20,0xF04A26e323DF8b1Cb436C8418854DD3365bCE3Aa,,,,,,,
G4,ZEC,Transparent,t1TT5QuS3ouwkiX4hfNG8LRVtq16GmwPGCz,,,,,,,
G4,ZEC,Orchard,u159whw5kxmsyq5qp5978mxxupg5ryxrpxdd2ggxxkx4rnqg3tjh67j0yncqlkdwj7p3xkw9wpjzhx94f8ap39wy4nvythgl33xg5vdws3,,,,,,,
G4,DASH,DASH,XhKixETdRafAJr32DjRtP1TSAmTSxK9qsK,,,,,,,
G4,sSCRT,Secret,secret1k0jntykt7e4g3y88ltc60czgjuqdy4c9e8fzek,viewing key - 36dd05556b8c2852c23c27a97a04544bde0f69a5d7b7e570e34b02ed3eb034d3,,,,,,
G4,SCRT,Secret,secret15wsj5g8k8zzq0xwvevkuzmec03c2y8tqnx53qt,,,,,,,
G5,BTC,P2TR (taproot),bc1p3nk7zzeqjrpser40nwvj4pm5suyfec4mfqsekh9e54fd04fnsh3svwpml3,,,,,,,
G5,BTC,P2WPKH (segwit),bc1q79gcyqvn0qzduvmhwp8njm8zqq5n9zmfdsvrh3,Confirmed asgardex,,,,,,
G5,ETH,ERC-20,0xbf0e7d5868479b3b2602fA929DEc6661408edc71,,,,,,,
G5,EVM,Railgun,0zk1qyq3vw5wp6pzup6kjtds5pashr8d2dklr4lryrzwsfs872ardvwq9rv7j6fe3z53lulef2hfppn9s9fjgheem5yfp6sat3uwl02rpf5lu2ek7skg06mau9q2h0w,,,,,,,
G5,ZEC,Transparent,t1KhnQa2Fs8Fhxo9a6RbhCpcvRE7uYVLvKr,,,,,,,
G5,ZEC,Orchard,u1jvdsyxhpg9qdw00ur4plpz8mzqzj3434uyq3h4fw4sdsw9vnj4nsmjt6eu35h3qvvwa2d2pc6mxe9qfynpc2z98cewcwacamfv4vz4el,,,,,,,
G5,DASH,DASH,XktPPXafE3SpZNNx78YX8gNJwsRdY8VcT1,,,,,,,
G5,SCRT,Secret,secret1f9fvh8xrmv7cln4zdhdet22q6k7v7k2me6v5kz,,,,,,,
G5,sScrt,Secret,secret1k0jntykt7e4g3y88ltc60czgjuqdy4c9e8fzek,viewing key - cc26044eba1ee5319602880ff459b94a4c7a3819a95a06df944e6a2da76c3aeb,,,,,,
G5,SOL,Solana,,,,,,,,
G5,XRP,Ripple,rxXM7fuNM3rNVsAQq4zq7sR9k53rWuQju,,,,,,,
G6,SOL,Solana,,,,,,,,,,,,,,,,,,
G6,ETH,ERC-20,0xb3Eb012e15eFd1b5B52bcee90600Fe5Eff74d43e,,,,,,,,,,,,,,,,,
G6,DASH,DASH,Xjk18ANYeuEZLAtch9EtTGmodqjCrSsoXv,,,,,,,,,,,,,,,,,
G6,DASH,DASH,XwpFm7XqmYwtHPBiHLoJC9ikQ5UEdx7kFy,Vultisig,,,,,,,,,,,,,,,,
N2,ETH,ERC-20,0xEF5D9B9d41c861F80e30F46492c655388197487b,,,,,,,,,,,,,,,,,
N2,DASH,DASH,XjhdhZauveX26b5akNAa2QQ792V9bA227C,,,,,,,,,,,,,,,,,
N3,ETH,ERC-20,0x79b520fB4f21d6F3e13C75f8115BAaa8e7eaa9B0,,,,,,,,,,,,,,,,,
N3,DASH,DASH,XcEpKsEsmUeDG9ZaRF729c7H6YpX7dzZ5v,,,,,,,,,,,,,,,,,
N3,ZEC,Transparent,t1Hx1h6nwPEfvHUjoLwBdgmWa49W8ijQ3TV,,,,,,,,,,,,,,,,,
N3,ZEC,Transp - Safepal,t1crTM1L4xbXqooX8bQ5WJXSPiDxXP5UTio,,,,,,,,,,,,,,,,,
N3,ZEC,Orchard,u1jpjhtqkgjsrnyen4mfe0mdzh3vt9mf45pegw9lqpdauksq3nunk06txt7rgnjg85t8ttqjzp8nayzhwq9danacmxn7p8lunh5s7yjtmz,,,,,,,,,,,,,,,,,
N4,ETH,ERC-20,0x3C4a041472F11411E8325C97871493f3CbF08d08,,,,,,,,,,,,,,,,,
N4,DASH,DASH,XfumTFA6hdWwLooxe4Vz21eoaixSdWGS5Z,,,,,,,,,,,,,,,,,
N4,ZEC,Transparent,t1NN3aPWkemz7KTBYRo2xNXioPRfCmXWenG,,,,,,,,,,,,,,,,,
N4,ZEC,Transp - Safepal,t1VCUmCfe1KKkRJMZAq2QH2pSZ1tB1Fx5Kf,,,,,,,,,,,,,,,,,
N4,ZEC,Orchard,u1jph544dxwymkcu7uw028ynnmkz0ax8n2c0hmcdugfrsjdskw83cvzzn8drsj6hg44sdzam3u6l25ecktyxk4yztnes0h6fx0r5en5965,,,,,,,,,,,,,,,,,
N5,ETH,ERC-20,0x008Ac09A27c6A1A61F3b5952b59D30351d99c68B,,,,,,,,,,,,,,,,,
N5,DASH,DASH,Xs2fVjiohaYSUTPAeLAtRPC5E2aVKoqJLt,,,,,,,,,,,,,,,,,
N5,ZEC,Transparent,t1R7zKxBWDKMNZZzpQ6rxs3pGRJjMQ28iKx,,,,,,,,,,,,,,,,,
N5,ZEC,Orchard,u19par5988kspj3eyr86m8qvmktpdfvfvvl8lfu0ndke2e6p7cm6t6rug399ghfu60c48g6ac8lzeaawd0yrzk9lt9zk0uhz8qsss50xg7,,,,,,,,,,,,,,,,,
F1,Sol,Solana,CDm4xuQazMd2NUK3sePEwdPg5KrPgBzB5eAmsZNKaA1u,,,,,,,,,,,,,,,,,
F1,ETH,ERC-20,0xb1634d046b5ed0cc42908744adb4a66b1ae0d09d,,,,,,,,,,,,,,,,,
F1,ZEC,Safepal,t1V5LDBuRhC414ZC3mMsBdsygPZJCLho9vw,,,,,,,,,,,,,,,,,
F1,ZEC,Transparent,t1YBa23zccdSQaotwNsXt9KEgLd2AdStUYC,,,,,,,,,,,,,,,,,
F1,ZEC,Orchard,u1jhfeavq2mlk6mx8xqzjmv06qagnshkvknaw39d8dexcu6h7t0t9fj82c8mm42pd80utwr3shar4k3j35l4ml5tsx5j0fs3k0uylsmu5q,,,,,,,,,,,,,,,,,
F2,SOL,Solana,2mNCKh8kmHadpckbjV66JLHirvmKxZJUMMMhRu3gUn73,,,,,,,,,,,,,,,,,
F2,ETH,ERC-20,0xafec421bad0e263b1565717a129a4d1be5c37c30,,,,,,,,,,,,,,,,,
F2,ZEC,Safepal,t1KergUa6nAjDN4UVzoUYKxqKZYhmxeQh6E,,,,,,,,,,,,,,,,,
F2,ZEC,Transparent,t1NetmxMVnDJcZo5Rmh72hJFR1ta69yFRG2,,,,,,,,,,,,,,,,,
F2,ZEC,Orchard,u15up7k0tq6ypxdw7ymcfpayc7jrkqal94hca29qjuh3e47st32gj455w4fugctksshxfe5u0k3uezjaxhl0jlerakwux84qwmnuhxapl6,,,,,,,,,,,,,,,,,
F3,SOL,Solana,Ge2TJk2JHxna5H6TqR8e6g7diU8Bnfr5FiektntsmEdi,,,,,,,,,,,,,,,,,
F3,ETH,ERC-20,0x9715f6af6cdcc7a1c9c9cb864b83da86ea466e01,,,,,,,,,,,,,,,,,
F3,ZEC,Safepal,t1WGRD47Bw6uGS44Hn773DCJHHVRRcrgM5D,,,,,,,,,,,,,,,,,
F3,ZEC,Transparent,t1XDwvBjhkB1KFUEPGdw2LVqdVwkbt25KPf,,,,,,,,,,,,,,,,,
F3,ZEC,Orchard,u1dg2qvkx5k39yqyfqjx4xuspz5cm6452gmfj8xde7gj5nrp2u8l4mlx7kyzhfknh580gjppa6759u4nwgv7qd6kz6e9nqxa8vjs2ual8w,,,,,,,,,,,,,,,,,
F4,ETH,ERC-20,0xa6cd3c6bf839f3804263fb2ada3a141fa7766f8c,,,,,,,,,,,,,,,,,
F4,ZEC,Transparent,t1ak7fo9D3fat87iNGfeXZvuWuq8Z2QLn32,,,,,,,,,,,,,,,,,
F4,ZEC,Orchard,u15jnqy4n38xcn3z0nthpcpycynggwwsccwurxy4uxq5zu8rm5xfycw32f5u70pjjx7cu6nlh53p9ymy8ylpmvzuz8ee5le447hvh0mrer,,,,,,,,,,,,,,,,,
F5,ETH,ERC-20,0x8f18f7bd2f30c13ed026f7282abca51ba20c3ee0,,,,,,,,,,,,,,,,,
F5,ZEC,Safepal,t1gcv6eQpYK7jaYnqdrM2W3LaFpWJjhSdsW,,,,,,,,,,,,,,,,,
F5,ZEC,Transparent,t1aefX9AyNn78k9pXntYC2Y9sGeCw9TvGrw,,,,,,,,,,,,,,,,,
F5,ZEC,Orchard,u1l8zaq85av4xngkkz9xqul0857lzz38fksnjvag42e64399ye97uve0py44k9eq3x78lzz9u92ghn4nvz0ckjqe62exa8h4muyqlwx5td,,,,,,,,,,,,,,,,,
S1,ETH,ERC-20,0x9b11F80441D9b37EE4D5197ba4490A5d62929318,,,,,,,,,,,,,,,,,
S1,ZEC,Transparent,t1RXGXdx4sNik8dtAvsy3fkKtwR3kuU1dVo,,,,,,,,,,,,,,,,,
S1,ZEC,Orchard,u1geh8ha74n25c3l4e6668zmzx7d05v5j02mvj3s0jvxwj5jvpm7ajfw9szjz20x5zvgkpvv7s884fg8ghp7y2272qx6lltuevzvf64l0w,,,,,,,,,,,,,,,,,
S1,SUI,SUI,0xb558054ecc35fa6caa25a46fc005b28b7a8cf99bf68f4913322cd062a49c356c,,,,,,,,,,,,,,,,,
S1,DASH,DASH,XdXftytwBizHKH7douhp7jjDpZEis9Jo2w,,,,,,,,,,,,,,,,,
S2,SOL,Solana,EmGxJty4tSmPE1jhM26PFC5EkSTBQHnusKpdwGXW4WPt,,,,,,,,,,,,,,,,,
S2,ETH,ERC-20,0x88ad997a6a37ab56164786347181fa4d28f9e97c,,,,,,,,,,,,,,,,,
S2,ZEC,Transparent,t1KrJbRyT8qXYSriXrEXwvShuLpGSAyjew9,,,,,,,,,,,,,,,,,
S2,ZEC,Orchard,u124hdly4svetlyqt0js42zj23xp5aq2mjjxusr9pp9c265k0tudu00xhnfljakh5f4ejr7m4cwyhmd5g5qcc0yveuzcgv948wxv9pd9nw,,,,,,,,,,,,,,,,,
S3,ETH,ERC-20,0x772deb8384d6c24839ea07503f61eccdad58ac76,,,,,,,,,,,,,,,,,
S3,ZEC,Transparent,t1cbLFrwxr4UK5aW9AkxnBe5rwhtLSUKPvK,,,,,,,,,,,,,,,,,
